I	FM	I
weiß	VVFIN	wissen
ich	PPER	ich
?	$.	?
Schweig	VVIMP	schweigen
!	$.	!
Redegonda	NE	Redegonda
und	KON	und
Achilles	NE	Achilles
ungefähr	ADJD	ungefähr
in	APPR	in
der	ART	die
Mitte	NN	Mitte
,	$,	,
Venier	NN	Venier
geht	VVFIN	gehen
nach	APPR	nach
links	ADV	links
vorne	ADV	vorne
,	$,	,
Baron	NN	Baron
kommt	VVFIN	kommen
von	APPR	von
rückwärts	ADV	rückwärts
zu	APPR	zu
Redegonda	NN	Redegonda
zurück	PTKVZ	zurück
,	$,	,
die	PRELS	die
durch	APPR	durch
ihr	PPOSAT	ihr
Lorgnon	NN	Lorgnon
die	ART	die
Gesellschaft	NN	Gesellschaft
mustert	VVFIN	mustern
.	$.	.
REDEGONDA	NE	REDEGONDA
.	$.	.
Wie	KOUS	wie
?	$.	?
Die	PDS	die
ist	VAFIN	sein
da	ADV	da
?	$.	?
Die	ART	die
Tänzerin	NN	Tänzerin
!	$.	!
Ich	PPER	ich
bin	VAFIN	sein
nur	ADV	nur
gern	ADV	gern
beim	APPRART	bei
Spiel	NN	Spiel
mit	APPR	mit
meinesgleichen	PIS	meinesgleichen
.	$.	.
BARON	NN	Baron
.	$.	.
Göttin	NN	Göttin
an	APPR	an
Schönheit	NN	Schönheit
,	$,	,
müßtet	VMFIN	müssen
Ihr	PPER	sie
dann	ADV	dann
Euren	PPOSAT	euer
Spieltisch	NN	Spieltisch
aufschlagen	VVINF	aufschlagen
lassen	VVFIN	lassen
im	APPRART	in
Olymp	NN	Olymp
.	$.	.
REDEGONDA	NE	REDEGONDA
.	$.	.
Wo	PWAV	wo
ist	VAFIN	sein
das	PDS	die
?	$.	?
Baron	NN	Baron
führt	VVFIN	führen
sie	PPER	sie
zum	APPRART	zu
Spieltisch	NN	Spieltisch
,	$,	,
winkt	VVFIN	winken
Salaino	NE	Salaino
herbei	PTKVZ	herbei
,	$,	,
der	PRELS	die
die	ART	die
ganze	ADJA	ganz
Zeit	NN	Zeit
,	$,	,
im	APPRART	in
Hintergrund	NN	Hintergrund
stehend	ADJD	stehend
,	$,	,
mit	APPR	mit
den	ART	die
Blicken	NN	Blick|Blicken
der	ART	die
Marfisa	NE	Marfisa
folgte	VVFIN	folgen
.	$.	.
Ein	ART	eine
fremder	ADJA	fremd
älterer	ADJA	alt
Mann	NN	Mann
tritt	VVFIN	treten
in	APPR	in
die	ART	die
Türe	NN	Türe
,	$,	,
mit	APPR	mit
einer	ART	eine
schüchternen	ADJA	schüchtern
Verbeugung	NN	Verbeugung
,	$,	,
den	ART	die
Dreispitz	NN	Dreispitz
unter	APPR	unter
dem	ART	die
Arm	NN	Arm
.	$.	.
Niemand	PIS	niemand
bemerkt	VVFIN	bemerken
ihn	PPER	er
.	$.	.
VENIER	NN	VENIER
links	ADV	links
vorne	ADV	vorne
allein	ADV	allein
.	$.	.
Ich	PPER	ich
bin	VAFIN	sein
hier	ADV	hier
lächerlich	ADJD	lächerlich
und	KON	und
kann	VMFIN	können
nicht	PTKNEG	nicht
fort	PTKVZ	fort
.	$.	.
Und	KON	und
doch	ADV	doch
,	$,	,
es	PPER	es
war	VAFIN	sein
keine	PIAT	keine
Täuschung	NN	Täuschung
:	$.	:
als	KON	als
dieser	PDAT	dies
Mensch	NN	Mensch
sich	PRF	sich
auf	APPR	auf
den	ART	die
Platz	NN	Platz
neben	APPR	neben
meiner	PPOSAT	mein
Loge	NN	Loge
setzte	VVFIN	setzen
und	KON	und
ihr	PPOSAT	ihr
Blick	NN	Blick
,	$,	,
der	PRELS	die
mich	PPER	ich
suchte	VVFIN	suchen
,	$,	,
auf	APPR	auf
ihn	PPER	er
fiel	VVFIN	fallen
,	$,	,
wurde	VAFIN	werden
sie	PPER	sie
unter	APPR	unter
der	ART	die
Schminke	NN	Schminke
blaß	ADJD	blass
,	$,	,
und	KON	und
der	ART	die
Ton	NN	Ton
,	$,	,
der	PRELS	die
schon	ADV	schon
auf	APPR	auf
ihrer	PPOSAT	ihr
Lippe	NN	Lippe
schwebte	VVFIN	schweben
,	$,	,
tauchte	VVFIN	tauchen
wieder	ADV	wieder
unter	APPR	unter
wie	KOUS	wie
ein	ART	eine
erschreckter	ADJA	erschreckter
Wasservogel	NN	Wasservogel
,	$,	,
und	KON	und
von	APPR	von
dem	ART	die
Augenblick	NN	Augenblick
an	APZR	an
sang	VVFIN	singen
nur	ADV	nur
mehr	ADV	mehr
ihre	PPOSAT	ihr
Kunst	NN	Kunst
,	$,	,
nicht	PTKNEG	nicht
mehr	ADV	mehr
ihre	PPOSAT	ihr
Seele	NN	Seele
.	$.	.
Soll	VMFIN	sollen
ich	PPER	ich
mich	PRF	ich
in	APPR	in
solchen	PIAT	solche
Dingen	NN	Ding
irren	VVFIN	irren
,	$,	,
ich	PPER	ich
,	$,	,
der	PRELS	die
ich	PPER	ich
aus	APPR	aus
ihren	PPOSAT	ihr
Schritten	NN	Schritt
auf	APPR	auf
dem	ART	die
Teppich	NN	Teppich
,	$,	,
aus	APPR	aus
einem	ART	eine
Nichts	PIS	nichts
,	$,	,
aus	APPR	aus
dem	ART	die
Schlagen	NN	Schlagen
ihrer	PPOSAT	ihr
Augenlieder	NN	Augenlied
erraten	VVINF	erraten
kann	VMFIN	können
,	$,	,
woran	PWAV	woran
sie	PPER	sie
denkt	VVFIN	denken
?	$.	?
Und	KON	und
doch	ADV	doch
kann	VMFIN	können
ich	PPER	ich
mich	PRF	ich
irren	VVINF	irren
und	KON	und
diese	PDAT	dies
ganze	ADJA	ganz
Qual	NN	Qual
kann	VMFIN	können
um	APPR	um
nichts	PIS	nichts
sein	VAINF	sein
!	$.	!
Hier	ADV	hier
ist	VAFIN	sein
niemand	PIS	niemand
,	$,	,
den	PRELS	die
ich	PPER	ich
fragen	VVINF	fragen
könnte	VMFIN	können
;	$.	;
die	ART	die
Redegonda	NN	Redegonda
ist	VAFIN	sein
zu	PTKA	zu
dumm	ADJD	dumm
,	$,	,
Sassi	NN	Sassi
zu	PTKA	zu
boshaft	ADJD	boshaft
.	$.	.
Und	KON	und
doch	ADV	doch
war	VAFIN	sein
mir	PPER	ich
,	$,	,
als	KOUS	als
hätte	VAFIN	haben
das	ART	die
ganze	ADJA	ganz
Haus	NN	Haus
gefühlt	VVPP	fühlen
,	$,	,
daß	KOUS	dass
in	APPR	in
ihr	PPOSAT	ihr
etwas	ADV	etwas
Ungeheures	NN	Ungeheure
vorgegangen	VVPP	vorgehen
war	VAFIN	sein
.	$.	.
Und	KON	und
in	APPR	in
ihrem	PPOSAT	ihr
Spiel	NN	Spiel
war	VAFIN	sein
etwas	ADV	etwas
wie	KOKOM	wie
Nachtwandeln	NN	Nachtwandeln
,	$,	,
sie	PPER	sie
ging	VVFIN	gehen
wie	KOKOM	wie
unter	APPR	unter
einem	ART	eine
Schatten	NN	Schatten
.	$.	.
Wer	PWS	wer
ist	VAFIN	sein
dieser	PDAT	dies
Mensch	NN	Mensch
?	$.	?
Mir	PPER	ich
ist	VAFIN	sein
,	$,	,
ich	PPER	ich
dürfte	VMFIN	dürfen
ihn	PPER	er
nicht	PTKNEG	nicht
aus	APPR	aus
den	ART	die
Augen	NN	Auge
lassen	VVINF	lassen
,	$,	,
als	KOUS	als
wüßte	VVFIN	wissen
ich	PPER	ich
,	$,	,
er	PPER	er
ist	VAFIN	sein
auf	APPR	auf
geheimnisvolle	ADJA	geheimnisvoll
Weise	NN	Weise
bestellt	VVPP	bestellen
,	$,	,
in	APPR	in
mein	PPOSAT	mein
Leben	NN	Leben
hineinzugreifen	VVIZU	hineingreifen
.	$.	.
Wo	PWAV	wo
hab	VAIMP	haben
ich	PPER	ich
das	PDS	die
gehört	VVFIN	gehören
:	$.	:
Ich	PPER	ich
seh	NE	seh
den	ART	die
Dieb	NN	Dieb
,	$,	,
der	PRELS	die
zur	APPRART	zu
geheimsten	ADJA	geheim
Kammer	NN	Kammer
meines	PPOSAT	mein
Glücks	NN	Glück
den	ART	die
Schlüssel	NN	Schlüssel
stahl	VVFIN	stehlen
:	$.	:
er	PPER	er
geht	VVFIN	gehen
um	APPR	um
mich	PRF	ich
herum	PTKVZ	herum
,	$,	,
doch	KON	doch
kann	VMFIN	können
ich	PPER	ich
ihn	PPER	er
nicht	PTKNEG	nicht
fassen	VVINF	fassen
:	$.	:
hab	VAIMP	haben
ich	PPER	ich
das	PDS	die
geträumt	VVPP	träumen
?	$.	?
und	KON	und
wann	PWAV	wann
?	$.	?
SASSI	NN	SASSI
vorkommend	ADJD	vorkommend
,	$,	,
zu	APPR	zu
Venier	NN	Venier
.	$.	.
Wie	KOUS	wie
,	$,	,
kommt	VVFIN	kommen
Ihr	PPER	sie
nicht	PTKNEG	nicht
zum	APPRART	zu
Spiel	NN	Spiel
?	$.	?
VENIER	NN	VENIER
.	$.	.
Sassi	NE	Sassi
,	$,	,
wer	PWS	wer
ist	VAFIN	sein
der	ART	die
Mensch	NN	Mensch
?	$.	?
SASSI	NE	SASSI
.	$.	.
Ich	PPER	ich
glaub	VVIMP	glauben
,	$,	,
nicht	PTKNEG	nicht
viel	PIAT	viele
Nachdenkens	NN	Nachdenken
wert	ADJD	wert
.	$.	.
Ein	ART	eine
Abenteurer	NN	Abenteurer
,	$,	,
glaub	VVIMP	glauben
ich	PPER	ich
,	$,	,
doch	ADV	doch
lustigre	ADJA	lustigre
Gesellschaft	NN	Gesellschaft
als	KOKOM	als
die	ART	die
Puppen	NN	Puppe
,	$,	,
von	APPR	von
denen	PRELS	die
man	PIS	man
Großvater	NN	Großvater
und	KON	und
Großmutter	NN	Großmutter
mit	APPR	mit
Namen	NN	Name
nennen	VVINF	nennen
kann	VMFIN	können
.	$.	.
VENIER	NN	VENIER
.	$.	.
Wie	KOUS	wie
kommst	VVFIN	kommen
du	PPER	du
zu	APPR	zu
ihm	PPER	er
?	$.	?
SASSI	NE	SASSI
.	$.	.
Ich	PPER	ich
?	$.	?
vielmehr	ADV	vielmehr
er	PPER	er
zu	APPR	zu
mir	PPER	ich
:	$.	:
mit	APPR	mit
einem	ART	eine
Brief	NN	Brief
,	$,	,
der	PRELS	die
auf	APPR	auf
viertausend	CARD	viertausend
Golddublonen	NN	Golddublonen
lautet	VVFIN	lauten
.	$.	.
VENIER	NN	VENIER
.	$.	.
Und	KON	und
ausgestellt	VVPP	ausstellen
?	$.	?
SASSI	NE	SASSI
.	$.	.
Von	APPR	von
Arnstein	NE	Arnstein
Söhnen	NN	Sohn
,	$,	,
Wien	NE	Wien
.	$.	.
BARON	NN	Baron
geht	VVFIN	gehen
rückwärts	ADV	rückwärts
von	APPR	von
Marfisas	NE	Marfisas
Seite	NN	Seite
weg	PTKVZ	weg
,	$,	,
um	KOUI	um
den	ART	die
Tisch	NN	Tisch
herum	PTKVZ	herum
;	$.	;
er	PPER	er
ruft	VVFIN	rufen
nach	APPR	nach
vorne	ADV	vorne
.	$.	.
Ihr	PPER	sie
langweilt	VVFIN	langweilen
euch	PPER	ihr
!	$.	!
SASSI	NE	SASSI
.	$.	.
Im	APPRART	in
Gegenteil	NN	Gegenteil
,	$,	,
Mynheer	NN	Mynheer
!	$.	!
Baron	NN	Baron
rückwärts	ADV	rückwärts
stehend	ADJD	stehend
,	$,	,
neben	APPR	neben
Salaino	NE	Salaino
,	$,	,
dem	PRELS	die
er	PPER	er
spielen	VVINF	spielen
zusieht	VVFIN	zusehen
.	$.	.
SASSI	NN	SASSI
nach	APPR	nach
rückwärts	ADV	rückwärts
gehend	ADJD	gehend
.	$.	.
Ich	PPER	ich
nehm	VVFIN	nehm
die	ART	die
Bank	NN	Bank
.	$.	.
BARON	NN	Baron
.	$.	.
Ich	PPER	ich
bitte	VVFIN	bitten
,	$,	,
Sassi	NE	Sassi
,	$,	,
nehmt	VVFIN	nehmen
sie	PPER	sie
.	$.	.
DER	ART	die
ABBATE	NN	ABBATE
geht	VVFIN	gehen
zu	APPR	zu
Venier	NN	Venier
nach	APPR	nach
vorne	ADV	vorne
,	$,	,
sich	PRF	sich
vorstellend	ADJD	vorstellend
.	$.	.
Abbate	NE	Abbate
Gamba	NE	Gamba
.	$.	.
VENIER	NN	VENIER
.	$.	.
Lorenzo	NE	Lorenzo
Venier	NN	Venier
,	$,	,
wir	PPER	wir
sehen	VVFIN	sehen
uns	PPER	wir
nicht	PTKNEG	nicht
das	ART	die
erste	ADJA	erst
Mal	NN	Mal
.	$.	.
ABBATE	NN	ABBATE
.	$.	.
Ihr	PPER	sie
seid	VAFIN	sein
sehr	ADV	sehr
gütig	ADJD	gütig
,	$,	,
Euch	PPER	ihr
zu	PTKZU	zu
erinnern	VVINF	erinnern
.	$.	.
Leises	ADJA	leise
Gespräch	NN	Gespräch
,	$,	,
Abbate	NN	Abbate
zeigt	VVFIN	zeigen
seine	PPOSAT	sein
Uhr	NN	Uhr
;	$.	;
beide	PIS	beide
gehen	VVFIN	gehen
nach	APPR	nach
rechts	ADV	rechts
vorne	ADV	vorne
.	$.	.
Der	ART	die
alte	ADJA	alt
Mann	NN	Mann
ist	VAFIN	sein
unbemerkt	ADJD	unbemerkt
an	APPR	an
den	ART	die
Tisch	NN	Tisch
gegangen	VVPP	gehen
,	$,	,
steht	VVFIN	stehen
hinter	APPR	hinter
der	ART	die
Kerze	NN	Kerze
und	KON	und
pointiert	VVFIN	pointieren
mit	PTKVZ	mit
.	$.	.
BARON	NN	Baron
über	APPR	über
Salainos	NE	Salainos
Schultern	NN	Schulter|Schultern
schauend	ADJD	schauend
.	$.	.
Nimm	VVIMP	nehmen
rot	ADJD	rot
und	KON	und
bleib	VVIMP	bleiben
!	$.	!
Nach	APPR	nach
einer	ART	eine
Pause	NN	Pause
.	$.	.
Es	PPER	es
wird	VAFIN	werden
!	$.	!
es	PPER	es
wächst	VVFIN	wachsen
!	$.	!
es	PPER	es
schwillt	VVFIN	schwellen
!	$.	!
Schon	ADV	schon
bücken	VVFIN	bücken
sich	PRF	sich
zwei	CARD	zwei
,	$,	,
drei	CARD	drei
vor	APPR	vor
dir	PPER	du
,	$,	,
indes	KOUS	indes
du	PPER	du
aus	APPR	aus
deiner	PPOSAT	dein
Gondel	NN	Gondel
steigst	VVFIN	steigen
,	$,	,
schon	ADV	schon
brennt	VVFIN	brennen
ein	ART	eine
Licht	NN	Licht
auf	APPR	auf
einer	ART	eine
Treppe	NN	Treppe
,	$,	,
schon	ADV	schon
für	APPR	für
dich	PPER	du
bewegt	VVFIN	bewegen
sich	PRF	sich
ein	ART	eine
Vorhang	NN	Vorhang
,	$,	,
und	KON	und
ein	ART	eine
Tisch	NN	Tisch
mit	APPR	mit
schönen	ADJA	schön
Speisen	NN	Speise|Speisen
steht	VVFIN	stehen
da	ADV	da
,	$,	,
für	APPR	für
zweie	ADJA	zweie
aufgedeckt	VVPP	aufdecken
,	$,	,
die	ART	die
Magd	NN	Magd
schielt	VVFIN	schielen
nur	ADV	nur
nach	APPR	nach
deiner	PPOSAT	dein
Hand	NN	Hand
,	$,	,
um	KOUI	um
zu	PTKZU	zu
verschwinden	VVINF	verschwinden
.	$.	.
ABBATE	NN	ABBATE
vorne	ADV	vorne
,	$,	,
zu	APPR	zu
Venier	NN	Venier
.	$.	.
Verlassen	VVFIN	verlassen
Sie	PPER	Sie
sich	PRF	sich
drauf	PAV	drauf
,	$,	,
ich	PPER	ich
faß	VVIMP	fassen
ihn	PPER	er
plötzlich	ADJD	plötzlich
und	KON	und
drück	VVIMP	drücken
ihn	PPER	er
an	APPR	an
die	ART	die
Wand	NN	Wand
.	$.	.
VENIER	NN	VENIER
.	$.	.
Wir	PPER	wir
werden	VAFIN	werden
sehn	VVIMP	sehnen
.	$.	.
BARON	NN	Baron
rückwärts	ADV	rückwärts
,	$,	,
zu	APPR	zu
Salaino	NE	Salaino
.	$.	.
Nun	ADV	nun
gut	ADJD	gut
und	KON	und
gut	ADJD	gut
!	$.	!
Nun	ADV	nun
liegt	VVFIN	liegen
schon	ADV	schon
mehr	ADV	mehr
und	KON	und
mehr	ADV	mehr
gebundne	ADJA	gebundne
Beute	NN	Beute
da	PTKVZ	da
,	$,	,
mit	APPR	mit
Zobelpelz	NN	Zobelpelz
und	KON	und
goldenen	ADJA	golden
Geweben	NN	Gewebe
halbverdeckt	ADJD	halbverdeckt
!	$.	!
Dies	PDS	dies
ist	VAFIN	sein
die	ART	die
Larve	NN	Larve
schon	ADV	schon
,	$,	,
der	ART	die
Engerling	NN	Engerling
von	APPR	von
einem	ART	eine
großen	ADJA	groß
Herrn	NN	Herr
!	$.	!
Jetzt	ADV	jetzt
sind	VAFIN	sein
schon	ADV	schon
hundert	CARD	hundert
,	$,	,
die	PRELS	die
um	APPR	um
die	ART	die
Wette	NN	Wette
kriechen	VVINF	kriechen
!	$.	!
Die	ART	die
Illustrissima	NE	Illustrissima
,	$,	,
die	ART	die
hochmütige	ADJA	hochmütig
schöne	ADJA	schön
Bragadin	NN	Bragadin
,	$,	,
dreht	VVFIN	drehen
schon	ADV	schon
den	ART	die
Kopf	NN	Kopf
.	$.	.
Nun	ADV	nun
aus	APPR	aus
dem	ART	die
Dunkel	NN	Dunkel
vor	PTKVZ	vor
!	$.	!
ABBATE	NN	ABBATE
zu	APPR	zu
Venier	NN	Venier
.	$.	.
Dies	PDS	dies
sind	VAFIN	sein
die	ART	die
Reden	NN	Rede|Reden
eines	ART	eine
Taschenspielers	NN	Taschenspielers
und	KON	und
eines	ART	eine
armen	ADJA	arm
Teufels	NN	Teufel
,	$,	,
der	PRELS	die
groß	ADJD	groß
prahlt	VVFIN	prahlen
.	$.	.
BARON	NN	Baron
zu	APPR	zu
ihnen	PPER	sie
vorkommend	ADJD	vorkommend
.	$.	.
Ihr	PPER	sie
lacht	VVFIN	lachen
!	$.	!
Den	ART	die
Teufel	NN	Teufel
,	$,	,
ja	ADV	ja
,	$,	,
den	PRELS	die
spiel	VVIMP	spielen
ich	PPER	ich
gern	ADV	gern
;	$.	;
den	PDS	die
meint	VVFIN	meinen
Ihr	PPER	sie
doch	ADV	doch
,	$,	,
Abbate	NE	Abbate
,	$,	,
der	PRELS	die
den	ART	die
großen	ADJA	groß
Goldklumpen	NN	Goldklumpen
nachts	ADV	nachts
ins	APPRART	in
Netz	NN	Netz
des	ART	die
armen	ADJA	arm
Fischers	NN	Fischer
warf	VVFIN	werfen
?	$.	?
Nein	PTKANT	nein
,	$,	,
sagt	VVFIN	sagen
mir	PPER	ich
,	$,	,
Freunde	NN	Freund
wer	PWS	wer
ist	VAFIN	sein
dieser	PDAT	dies
Mensch	NN	Mensch
?	$.	?
Er	PPER	er
zeigt	VVFIN	zeigen
auf	APPR	auf
den	ART	die
fremden	ADJA	fremd
alten	ADJA	alt
Mann	NN	Mann
am	APPRART	an
Spieltisch	NN	Spieltisch
.	$.	.
Kennt	VVFIN	kennen
ihr	PPER	ihr
ihn	PPER	er
nicht	PTKNEG	nicht
?	$.	?
ABBATE	NN	ABBATE
.	$.	.
Ich	PPER	ich
nicht	PTKNEG	nicht
,	$,	,
fragt	VVFIN	fragen
Sassi	NE	Sassi
.	$.	.
BARON	NN	Baron
.	$.	.
Der	PDS	die
kennt	VVFIN	kennen
ihn	PPER	er
nicht	PTKNEG	nicht
,	$,	,
er	PPER	er
hat	VAFIN	haben
schon	ADV	schon
mich	PPER	ich
gefragt	VVPP	fragen
.	$.	.
Der	ART	die
alte	ADJA	alt
Mann	NN	Mann
ist	VAFIN	sein
inzwischen	ADV	inzwischen
vom	APPRART	von
Spieltisch	NN	Spieltisch
weggegangen	VVPP	weggehen
und	KON	und
verschwindet	VVFIN	verschwinden
verstohlen	ADJD	verstohlen
durch	APPR	durch
die	ART	die
Tür	NN	Türe
im	APPRART	in
Hintergrunde	NN	Hintergrund
.	$.	.
Nun	ADV	nun
geht	VVFIN	gehen
er	PPER	er
fort	PTKVZ	fort
.	$.	.
Bei	APPR	bei
Gott	NN	Gott
,	$,	,
mir	PPER	ich
tut	VVFIN	tun
der	ART	die
Mensch	NN	Mensch
bis	KON	bis
in	APPR	in
die	ART	die
Seele	NN	Seele
leid	ADJD	leid
.	$.	.
Er	PPER	er
suchte	VVFIN	suchen
immer	ADV	immer
lang	ADJD	lang
und	KON	und
legte	VVFIN	legen
noch	ADV	noch
ein	ART	eine
Goldstück	NN	Goldstück
,	$,	,
jedes	PIS	jede
schien	VVFIN	scheinen
zu	PTKZU	zu
zittern	VVINF	zittern
,	$,	,
wie	KOUS	wie
er	PPER	er
selbst	ADV	selbst
,	$,	,
auf	APPR	auf
eine	ART	eine
Karte	NN	Karte
und	KON	und
immer	ADV	immer
gegen	APPR	gegen
uns	PPER	wir
.	$.	.
Und	KON	und
jedesmal	ADV	jedesmal
zerschellte	VVFIN	zerschellen
sein	PPOSAT	sein
elendes	ADJA	elend
Schifflein	NN	Schifflein
kläglich	ADJD	kläglich
an	APPR	an
jenem	PDAT	jen
dieses	PDAT	dies
Burschen	NN	Bursche
,	$,	,
dessen	PRELAT	die
Segel	NN	Segel
vom	APPRART	von
Wind	NN	Wind
des	ART	die
Glücks	NN	Glück
wild	ADJD	wild
aufgeblasen	VVPP	aufblasen
waren	VAFIN	sein
.	$.	.
Er	PPER	er
geht	VVFIN	gehen
ans	APPRART	ans
Fenster	NN	Fenster
,	$,	,
sieht	VVFIN	sehen
hinab	ADV	hinab
,	$,	,
geht	VVFIN	gehen
dann	ADV	dann
nach	APPR	nach
links	ADV	links
an	APPR	an
die	ART	die
Tür	NN	Türe
,	$,	,
winkt	VVFIN	winken
Le	NE	Le
Duc	NE	Duc
zu	APPR	zu
sich	PRF	sich
.	$.	.
ABBATE	NN	ABBATE
zu	APPR	zu
Venier	NN	Venier
.	$.	.
Es	PPER	es
gibt	VVFIN	geben
dergleichen	PIS	dergleichen
,	$,	,
die	PRELS	die
wie	KOKOM	wie
Raben	NN	Rabe
Aas	NN	Aas
die	ART	die
Häuser	NN	Haus
wittern	VVFIN	wittern
,	$,	,
wo	PWAV	wo
gespielt	ADJD	gespielt
wird	VAFIN	werden
abends	ADV	abends
und	KON	und
mit	APPR	mit
den	ART	die
Fledermäusen	NN	Fledermaus
und	KON	und
Nachtfaltern	NN	Nachtfaltern
auf	APPR	auf
einmal	ADV	einmal
da	ADV	da
sind	VAFIN	sein
.	$.	.
VENIER	NN	VENIER
.	$.	.
Der	PDS	die
sah	VVFIN	sehen
traurig	ADJD	traurig
aus	PTKVZ	aus
.	$.	.
BARON	NN	Baron
zu	APPR	zu
Le	NE	Le
Duc	NE	Duc
.	$.	.
Lauf	NN	Lauf
diesem	PDAT	dies
Menschen	NN	Mensch
nach	APPR	nach
im	APPRART	in
braunen	ADJA	braun
Rock	NN	Rock
,	$,	,
er	PPER	er
geht	VVFIN	gehen
die	ART	die
zweite	ADJA	zweit
Brücke	NN	Brücke
,	$,	,
lauf	VVIMP	laufen
und	KON	und
gib	VVIMP	geben
ihm	PPER	er
soviel	PIS	soviele
.	$.	.
Sag	VVIMP	sagen
nicht	PTKNEG	nicht
,	$,	,
von	APPR	von
wem	PWS	wer
.	$.	.
Steh	VVIMP	stehen
ihm	PPER	er
nicht	PTKNEG	nicht
Rede	NN	Rede
.	$.	.
Le	NE	Le
Duc	NE	Duc
ab	PTKVZ	ab
.	$.	.
BARON	NN	Baron
bleibt	VVFIN	bleiben
einen	ART	eine
Moment	NN	Moment
stehen	VVFIN	stehen
,	$,	,
blickt	VVFIN	blicken
ins	APPRART	in
Leere	NN	Leere
.	$.	.
Dies	PDS	dies
war	VAFIN	sein
vielleicht	ADV	vielleicht
mein	PPOSAT	mein
Vater	NN	Vater
.	$.	.
Zumindest	ADV	zumindest
hab	VAIMP	haben
ich	PPER	ich
meinen	VVFIN	meinen
nie	ADV	nie
gesehn	ADJD	gesehn
und	KON	und
möchte	VMFIN	mögen
keinem	PIS	keine
von	APPR	von
dem	ART	die
Alter	NN	Alter
wehtun	VVFIN	wehtun
aus	APPR	aus
Angst	NN	Angst
,	$,	,
es	PPER	es
wär	VVFIN	wär
gerade	ADV	gerade
der	ART	die
.	$.	.
Es	PPER	es
gibt	VVFIN	geben
Zufälle	NN	Zufall
von	APPR	von
der	ART	die
Art	NN	Art
.	$.	.
Mir	PPER	ich
träumts	VVFIN	träumts
auch	ADV	auch
öfter	ADV	öfter
.	$.	.
Gott	NN	Gott
weiß	VVFIN	wissen
,	$,	,
der	ART	die
tolle	ADJA	toll
Krüppel	NN	Krüppel
in	APPR	in
dem	ART	die
Dorf	NN	Dorf
,	$,	,
wo	PWAV	wo
ich	PPER	ich
heut	VVFIN	heuen
durchkam	VVFIN	durchkommen
und	KON	und
vor	APPR	vor
zwanzig	CARD	zwanzig
Jahren	NN	Jahr
auch	ADV	auch
einmal	ADV	einmal
schlief	VVFIN	schlafen
,	$,	,
der	PDS	die
war	VAFIN	sein
vielleicht	ADV	vielleicht
mein	PPOSAT	mein
Sohn	NN	Sohn
und	KON	und
fletschte	VVFIN	fletschen
grad	ADJD	grad
auf	APPR	auf
mich	PPER	ich
so	ADV	so
wild	ADJD	wild
die	ART	die
Zähne	NN	Zahn
.	$.	.
Er	PPER	er
will	VMFIN	wollen
zum	APPRART	zu
Spieltisch	NN	Spieltisch
zurückgehen	VVINF	zurückgehen
;	$.	;
Abbate	NE	Abbate
hält	VVFIN	halten
ihn	PPER	er
auf	PTKVZ	auf
.	$.	.
ABBATE	NN	ABBATE
.	$.	.
Erlaubt	VVPP	erlauben
,	$,	,
reizender	ADJA	reizend
Hausherr	NN	Hausherr
,	$,	,
einen	ART	eine
Blick	NN	Blick
!	$.	!
Führt	VVFIN	führen
ihn	PPER	er
unter	APPR	unter
ein	ART	eine
Licht	NN	Licht
,	$,	,
betrachtet	VVFIN	betrachten
ihn	PPER	er
sehr	ADV	sehr
aufmerksam	ADJD	aufmerksam
.	$.	.
Wir	PPER	wir
sehn	VVIMP	sehnen
uns	PPER	wir
nicht	PTKNEG	nicht
das	ART	die
erste	ADJA	erst
Mal	NN	Mal
!	$.	!
Allein	ADV	allein
mich	PPER	ich
dünkt	VVFIN	dünken
,	$,	,
Ihr	PPER	sie
habt	VAFIN	haben
Euch	PPER	ihr
wunderbar	ADJD	wunderbar
verändert	VVPP	verändern
!	$.	!
Verdeckt	ADJD	verdeckt
mit	APPR	mit
seiner	PPOSAT	sein
Hand	NN	Hand
einen	ART	eine
Teil	NN	Teil
vom	APPRART	von
Gesicht	NN	Gesicht
des	ART	die
andern	PIS	andere
.	$.	.
BARON	NN	Baron
betrachtet	VVFIN	betrachten
ihn	PPER	er
ebenso	ADV	ebenso
aufmerksam	ADJD	aufmerksam
,	$,	,
wie	KOUS	wie
eine	ART	eine
Statue	NN	Statue
,	$,	,
von	APPR	von
rechts	ADV	rechts
,	$,	,
dann	ADV	dann
von	APPR	von
links	ADV	links
,	$,	,
dann	ADV	dann
von	APPR	von
unten	ADV	unten
.	$.	.
Wahrhaftig	ADJD	wahrhaftig
nicht	PTKNEG	nicht
das	ART	die
erste	ADJA	erst
Mal	NN	Mal
!	$.	!
Wo	PWAV	wo
aber	ADV	aber
kanns	NN	kanns
nur	ADV	nur
gewesen	VAPP	sein
sein	VAINF	sein
?	$.	?
ABBATE	NN	ABBATE
triumphierend	ADJD	triumphierend
.	$.	.
Das	PDS	die
frage	VVFIN	fragen
ich	PPER	ich
!	$.	!
BARON	NN	Baron
.	$.	.
Doch	KON	doch
nicht	PTKNEG	nicht
im	APPRART	in
Haag	NE	Haag
?	$.	?
an	APPR	an
jenem	PDAT	jen
blutigen	ADJA	blutig
Abend	NN	Abend
?	$.	?
...	$.	...
Ich	PPER	ich
hielt	VVFIN	halten
den	ART	die
Kopf	NN	Kopf
des	ART	die
sterbenden	ADJA	sterbend
Oranien	NN	Oranien
